,Mois,Titre,parutions,top_fnac_1,top_fnac_2_plus,top_babelio,classement_babelio,Catégorie,top_livraddict,Année,Prix,prix_19_23,type_de_document,Nb_réservations_bibli,Classement_bibliothèque,Top_bibliothèque,in_youtube,nb_youtube,Auteur
1,Février 2022,10 minutes et 38 secondes dans ce monde étrange,1.0,,,,,,,,,,,,,,,,Elif Shafak
2,Novembre 2023,13 à table ! 2024,1.0,,,,,,,,,,,,,,,,Philippe Besson
3,Mai 2022,1794,1.0,,,,,,,,,,,,,,,,Niklas Natt och Dag
4,Octobre 2021,18.3 : une année à la pj,1.0,,,,,,,,,,,,,,,,Pauline Guéna
5,Mai 2023,1800 : la main de sang,1.0,,,,,,,,,,,,,,,,Tristan Mathieu
6,Mai 2022,1991,1.0,,,,,,,,,,,,,,,,Franck Thilliez
7,Découverte Rentrée 2022,24 fois la vérité,1.0,,,,,,,,,,,,,,,,Raphaël Meltz
8,Novembre 2023,"47, allée du lac",1.0,,,,,,,,,,,,,,,,Peter James
10,Février 2023,60 minutes,1.0,,,,,,,,,,,,,,,,M. J. Arlidge
11,Avril 2023,666,1.0,,,,,,,,,,,,,,,,Jérémy Wulc
12,Découverte Rentrée 2022,8 heures et 35 minutes,1.0,,,,,,,,,,,,,,,,Fotini Tsalikoglou
13,Rentrée 2023,a dieu vat,1.0,,,,,,,,,,,,,,,,Jean-Michel Guenassia
14,Octobre 2022,a la lueur du sang,1.0,,,,,,,,,,,,,,,,Patrice Guirao
15,Mai 2023,abandonner un chat : souvenirs de mon père,1.0,,,,,,,,,,,,,,,,Haruki Murakami
16,Mai 2023,absolution,1.0,,,,,,,,,,,,,,,,Yrsa Sigurdardottir
17,Février 2021,ada ou la beauté des nombres,1.0,,,,,,,,,,,,,,,,Catherine Dufour
18,Mai 2021,adam & eve,1.0,,,,,,,,,,,,,,,,Arto Paasilinna
22,Novembre 2023,ados sous acide,1.0,,,,,,,,,,,,,,,,Flea
23,Mars 2023,adultère,1.0,,,,,,,,,,,,,,,,Yves Ravey
24,Septembre 2022,after®,1.0,,,,,,,,,,,,,,,,Auriane Velten
25,Rentrée 2022,ainsi pleurent nos hommes,1.0,,,,,,,,,,,,,,,,Dominique Celis
26,Avril 2023,aires,1.0,,,,,,,,,,,,,,,,Marcus Malte
27,Rentrée 2022,ajar-paris,1.0,,,,,,,,,,,,,,,,Fanta Dramé
28,Octobre 2021,alabama 1963,1.0,,,,,,,,,,,,,,,,Ludovic Manchette
29,Avril 2023,alba nera,1.0,,,,,,,,,,,,,,,,Giancarlo De Cataldo
30,Octobre 2021,alice,1.0,,,,,,,,,,,,,,,,Heidi Perks
31,Avril 2022,aller avec la chance,1.0,,,,,,,,,,,,,,,,Iliana Holguín Teodorescu
32,Octobre 2021,alma,1.0,,,,,,,,,,,,,,,,J.M.G. Le Clézio
33,Mars 2023,america[s],1.0,,,,,,,,,,,,,,,,Ludovic Manchette
34,Janvier 2022,american dirt,1.0,,,,,,,,,,,,,,,,Jeanine Cummins
35,Mars 2021,american elsewhere,1.0,,,,,,,,,,,,,,,,Robert Jackson Bennett
36,Novembre 2022,american predator,1.0,,,,,,,,,,,,,,,,Maureen Callahan
37,Avril 2023,aminata,1.0,,,,,,,,,,,,,,,,Lawrence Hill
38,Février 2021,"amours solitaires, tome 2 : une petite éternité",1.0,,,,,,,,,,,,,,,,Morgane Ortin
40,Octobre 2021,"anatèm, tome 1",1.0,,,,,,,,,,,,,,,,Neal Stephenson
41,Mai 2022,anne d'avonlea,1.0,,,,,,,,,,,,,,,,Lucy Maud  Montgomery
42,Avril 2021,anne de green gables (maison aux pignons verts),1.0,,,,,,,,,,,,,,,,Lucy Maud  Montgomery
43,Octobre 2022,anne de redmond (anne quitte son île),1.0,,,,,,,,,,,,,,,,Lucy Maud  Montgomery
44,Février 2022,"antonia, la cheffe d'orchestre",1.0,,,,,,,,,,,,,,,,Maria Peters
45,Découverte Rentrée 2022,apaiser nos tempêtes,1.0,,,,,,,,,,,,,,,,Jean Hegland
46,Août 2021,apeirogon,1.0,0.0,0.0,0.0,,,0.0,2021.0,Grand prix des lectrices de Elle,1.0,,,,0.0,0.0,0.0,Colum McCann
47,Avril 2023,apparition,1.0,,,,,,,,,,,,,,,,Viktor Vincent
48,Avril 2023,appia,1.0,,,,,,,,,,,,,,,,Paolo Rumiz
49,Octobre 2022,apprendre à se noyer,1.0,,,,,,,,,,,,,,,,Jeremy Robert Johnson
50,Février 2023,après,1.0,,,,,,,,,,,,,,,,Stephen King
51,Avril 2023,après l'océan,1.0,,,,,,,,,,,,,,,,Laurence Peyrin
52,Août 2021,après le jour,1.0,,,,,,,,,,,,,,,,Christophe Molmy
53,Octobre 2023,après nous le déluge,1.0,,,,,,,,,,,,,,,,Yvan Robin
54,Octobre 2023,aquitania,1.0,,,,,,,,,,,,,,,,Eva García Saenz de Urturi
55,Janvier 2023,arbre de l'oubli,1.0,,,,,,,,,,,,,,,,Nancy Huston
57,Octobre 2022,archie,1.0,,,,,,,,,,,,,,,,Alia Cardyn
59,Janvier 2021,armorican psycho,1.0,,,,,,,,,,,,,,,,Gwenael Le Guellec
60,Rentrée 2022,arpenter la nuit,1.0,,,,,,,,,,,,,,,,Leila Mottley
63,Découverte Rentrée 2022,atmosphère,1.0,,,,,,,,,,,,,,,,Jenny Offill
67,Septembre 2023,au café de la ville perdue,1.0,,,,,,,,,,,,,,,,Anaïs Llobet
68,Novembre 2023,au commencement était...,1.0,,,,,,,,,,,,,,,,David Graeber
70,Octobre 2022,au nom des miens,1.0,,,,,,,,,,,,,,,,Nina Wähä
71,Octobre 2021,au nom du japon,1.0,,,,,,,,,,,,,,,,Hirô Onoda
73,Octobre 2023,au printemps,1.0,,,,,,,,,,,,,,,,Karl Ove Knausgård
74,Découverte Rentrée 2022,au printemps des monstres,1.0,,,,,,,,,,,,,,,,Philippe Jaenada
75,Mai 2023,au prochain arrêt,1.0,,,,,,,,,,,,,,,,Hiro Arikawa
76,Mars 2023,au royaume des cris,1.0,,,,,,,,,,,,,,,,Mathieu Lecerf
77,Février 2021,au soleil redouté,1.0,,,,,,,,,,,,,,,,Michel Bussi
78,Mars 2023,au temps des requins et des sauveurs,1.0,,,,,,,,,,,,,,,,Kawai Strong Washburn
79,Avril 2022,au tournant de minuit,1.0,,,,,,,,,,,,,,,,Minette Walters
80,Rentrée 2022,au vent mauvais,1.0,0.0,0.0,0.0,,,0.0,2022.0,Prix France Culture-Télérama,1.0,,,,0.0,0.0,0.0,Kaouther Adimi
81,Rentrée 2021,au-delà de la mer,1.0,,,,,,,,,,,,,,,,Paul Lynch
82,Mars 2023,aucune terre n'est promise,1.0,,,,,,,,,,,,,,,,Lavie Tidhar
83,Septembre 2022,aujourd'hui comme hier,1.0,,,,,,,,,,,,,,,,Mary Beth Keane
84,Septembre 2022,aussi riche que le roi,1.0,,,,,,,,,,,,,,,,Abigail Assor
85,Septembre 2022,autoportrait en chevreuil,1.0,,,,,,,,,,,,,,,,Victor Pouchet
86,Avril 2023,autopsie,1.0,,,,,,,,,,,,,,,,Patricia Cornwell
87,Octobre 2022,autopsie d'un drame,1.0,,,,,,,,,,,,,,,,Sarah Vaughan
89,Février 2022,avant elle,1.0,,,,,,,,,,,,,,,,Johanna Krawczyk
90,Rentrée 2023,avant la forêt,1.0,,,,,,,,,,,,,,,,Julia Colin
91,Août 2021,avant la longue flamme rouge,1.0,0.0,0.0,0.0,,,0.0,2020.0,Prix Orange du Livre,1.0,,,,0.0,0.0,0.0,Guillaume Sire
92,Septembre 2023,avant les années terribles,1.0,,,,,,,,,,,,,,,,Victor del Arbol
93,Août 2021,avant les diamants,1.0,,,,,,,,,,,,,,,,Dominique Maisons
95,Février 2023,avant que le monde ne se ferme,1.0,0.0,0.0,0.0,,,0.0,2021.0,Prix Première Plume,1.0,,,,0.0,0.0,0.0,Alain Mascaro
96,Septembre 2023,avec bas jan ader,1.0,,,,,,,,,,,,,,,,Thomas Giraud
97,Mai 2023,avec joie et docilité,1.0,,,,,,,,,,,,,,,,Johanna Sinisalo
98,Février 2023,avec la permission de gandhi,1.0,,,,,,,,,,,,,,,,Abir Mukherjee
99,Septembre 2021,avis de décès,1.0,,,,,,,,,,,,,,,,Zhou Haohui
101,Découverte Rentrée 2022,badroulboudour,1.0,,,,,,,,,,,,,,,,Jean-Baptiste de Froment
102,Rentrée 2023,bain de boue,1.0,,,,,,,,,,,,,,,,Ars O'
103,Septembre 2021,balèze,1.0,,,,,,,,,,,,,,,,Kiese Laymon
104,Découverte Rentrée 2022,bangkok déluge,1.0,,,,,,,,,,,,,,,,Pitchaya Sudbanthad
105,Découverte Rentrée 2022,basculer,1.0,,,,,,,,,,,,,,,,Florian Forestier
106,Mai 2023,beatrice,1.0,,,,,,,,,,,,,,,,Lina Bengtsdotter
107,Novembre 2022,beauchamp hall,1.0,,,,,,,,,,,,,,,,Danielle Steel
108,Janvier 2021,bed bug,1.0,,,,,,,,,,,,,,,,Katherine Pancol
111,Avril 2023,berlin requiem,1.0,,,,,,,,,,,,,,,,Xavier-Marie Bonnot
112,Mai 2023,bestial,1.0,,,,,,,,,,,,,,,,Anouk Shutterberg
117,Août-Octobre 2023,big girl,1.0,,,,,,,,,,,,,,,,Mecca Jamilah Sullivan
118,Octobre 2022,"binti, tome 1",1.0,,,,,,,,,,,,,,,,Nnedi Okorafor
119,Découverte Rentrée 2022,black sunday,1.0,,,,,,,,,,,,,,,,Tola Rotimi Abraham
121,Avril 2022,"blackwater, tome 1 : la crue",1.0,,,,,,,,,,,,,,,,Michael McDowell
122,Mai 2022,blackwood,1.0,,,,,,,,,,,,,,,,Michael Farris Smith
125,Octobre 2023,bleu,1.0,,,,,,,,,,,,,,,,Koz
126,Janvier 2023,blizzard,1.0,0.0,0.0,0.0,,,0.0,2022.0,Prix des libraires,1.0,,,,0.0,1.0,2.0,Marie Vingtras
127,Mai 2022,blood & sugar,1.0,,,,,,,,,,,,,,,,Laura Shepherd-Robinson
129,Janvier 2023,bluebird,1.0,0.0,0.0,0.0,,Sf,1.0,,,0.0,,,,0.0,0.0,0.0,Geneviève Damas
130,Octobre 2021,bonne nuit mon ange,1.0,,,,,,,,,,,,,,,,Aimee Molloy
132,Novembre 2023,"boum, boum, boum",1.0,,,,,,,,,,,,,,,,Nicolás Giacobone
133,Mars 2021,braises de guerre,1.0,,,,,,,,,,,,,,,,Gareth L. Powell
134,Mai 2023,"bretzel & beurre salé, tome 3 : l'habit ne fait pas le moine",1.0,,,,,,,,,,,,,,,,Margot et Jean Le Moal
135,Mai 2022,broadway,1.0,,,,,,,,,,,,,,,,Fabcaro
137,Janvier 2022,buveurs de vent,1.0,,,,,,,,,,,,,,,,Franck Bouysse
138,Mai 2023,béni soit le père,1.0,,,,,,,,,,,,,,,,Rosa Ventrella
139,Septembre 2021,bénie soit sixtine,1.0,,,,,,,,,,,,,,,,Maylis Adhémar
140,Mai 2021,c'est arrivé la nuit,1.0,,,,,,,,,,,,,,,,Marc Levy
142,Avril 2023,c'est encore loin le bonheur ?,1.0,,,,,,,,,,,,,,,,Amélie Baumann
143,Avril 2021,c'est toi que j'attendais,1.0,,,,,,,,,,,,,,,,Kristan Higgins
144,Mai 2021,"calder and eden, tome 1",1.0,,,,,,,,,,,,,,,,Mia Sheridan
145,Septembre 2022,cantique pour les étoiles,1.0,,,,,,,,,,,,,,,,Simon Jimenez
146,Septembre 2022,"capitale du sud, tome 1 : le sang de la cité",1.0,,,,,,,,,,,,,,,,Guillaume Chamanadjian
147,Septembre 2023,"capitale du sud, tome 2 : trois lucioles",1.0,,,,,,,,,,,,,,,,Guillaume Chamanadjian
151,Avril 2022,carnets de new york,1.0,,,,,,,,,,,,,,,,Paolo Cognetti
152,Rentrée 2022,cavales,1.0,,,,,,,,,,,,,,,,Aude Walker
153,Avril 2022,ce genre de petites choses,1.0,,,,,,,,,,,,,,,,Claire Keegan
155,Janvier 2023,ce n'était que la peste,1.0,,,,,,,,,,,,,,,,Ludmila Oulitskaïa
156,Mars 2023,ce qu'elle a laissé derrière elle,1.0,,,,,,,,,,,,,,,,Ellen Marie Wiseman
157,Janvier 2022,ce qu'il faut de nuit,1.0,0.0,0.0,0.0,,,0.0,2020.0,Prix Femina des lycéens,1.0,,,,0.0,0.0,0.0,Laurent Petitmangin
158,Découverte Rentrée 2022,ce qu'il nous faut de remords et d'espérance,1.0,,,,,,,,,,,,,,,,Céline Lapertot
159,Avril 2021,ce qu'il reste de nos rêves,1.0,,,,,,,,,,,,,,,,Flore Vasseur
161,Avril 2022,ce que les étoiles doivent à la nuit,1.0,,,,,,,,,,,,,,,,Anne-Gaëlle Huon
162,Septembre 2022,ce que murmure le vent,1.0,,,,,,,,,,,,,,,,Amy Harmon
163,Août 2021,ce que nous avons perdu dans le feu,1.0,,,,,,,,,,,,,,,,Mariana Enriquez
164,Janvier 2023,ce que nous confions au vent,1.0,,,,,,,,,,,,,,,,Laura Imai Messina
165,Septembre 2023,ce que nous désirons le plus,1.0,,,,,,,,,,,,,,,,Caroline Laurent
166,Mars 2021,ce que tu as fait de moi,1.0,,,,,,,,,,,,,,,,Karine Giebel
167,Découverte Rentrée 2022,ce qui gronde,1.0,,,,,,,,,,,,,,,,Marie Petitcuénot
168,Octobre 2022,ce qui gît dans ses entrailles,1.0,,,,,,,,,,,,,,,,Jennifer Haigh
169,Novembre 2023,ce qui manque à un clochard,1.0,,,,,,,,,,,,,,,,Nicolas Diat
171,Avril 2022,celle qu'il attendait,1.0,,,,,,,,,,,,,,,,Baptiste Beaulieu
172,Septembre 2022,celle qui brûle,1.0,,,,,,,,,,,,,,,,Paula Hawkins
173,Mai 2023,celle qui ne pardonnait pas,1.0,,,,,,,,,,,,,,,,Christophe Vasse
174,Janvier 2021,celle qui pleurait sous l'eau,1.0,,,,,,,,,,,,,,,,Niko Tackian
175,Août-Octobre 2023,celles qu'on tue,1.0,,,,,,,,,,,,,,,,Patricia Melo
176,Mars 2023,cemetery road,1.0,,,,,,,,,,,,,,,,Greg Iles
178,Août 2021,cent millions d'années et un jour,1.0,,,,,,,,,,,,,,,,Jean-Baptiste Andrea
179,Avril 2021,ces petits riens qui nous animent...,1.0,,,,,,,,,,,,,,,,Claire Norton
181,Novembre 2023,cette lumière en nous : s'accomplir en des temps incertains,1.0,,,,,,,,,,,,,,,,Michelle Obama
182,Novembre 2022,ceux d'ici ne savent pas,1.0,,,,,,,,,,,,,,,,Heather Young
183,Mai 2021,ceux qui s'aiment finissent toujours par se retrouver,1.0,,,,,,,,,,,,,,,,Sonia Dagotor
184,Mars 2023,chair vive,1.0,,,,,,,,,,,,,,,,Grisélidis Réal
185,Août-Octobre 2023,chaleur humaine,1.0,,,,,,,,,,,,,,,,Serge Joncour
188,Septembre 2021,chasse à mort,1.0,,,,,,,,,,,,,,,,Dean Koontz
190,Mai 2022,chavirer,1.0,0.0,0.0,0.0,,,0.0,2020.0,Prix France Culture-Télérama,1.0,Livre adulte,92.0,40.0,1.0,1.0,1.0,Lola Lafon
191,Février 2022,chems,1.0,,,,,,,,,,,,,,,,Johann Zarca
192,Rentrée 2022,cher connard,1.0,,,,,,,,,,,,,,,,Virginie Despentes
193,Octobre 2021,"cher père noël, je voudrais un mec !",1.0,,,,,,,,,,,,,,,,Caro M. Leene
195,Février 2022,"chevauche-brumes, tome 2 : les flots sombres",1.0,,,,,,,,,,,,,,,,Thibaud Latil-Nicolas
196,Février 2023,"chevauche-brumes, tome 3 : l'appel des grands cors",1.0,,,,,,,,,,,,,,,,Thibaud Latil-Nicolas
197,Octobre 2023,chevreuse,1.0,,,,,,,,,,,,,,,,Patrick Modiano
199,Février 2022,chienne,1.0,,,,,,,,,,,,,,,,Marie-Pier Lafontaine
200,Rentrée 2022,chienne et louve,1.0,0.0,0.0,0.0,,,0.0,2022.0,Prix de Flore,1.0,,,,0.0,0.0,0.0,Joffrine Donnadieu
201,Octobre 2022,"chinatown, intérieur",1.0,,,,,,,,,,,,,,,,Charles Yu
202,Novembre 2023,chine-russie: le grand rapprochement,1.0,,,,,,,,,,,,,,,,Alice Ekman
204,Découverte Rentrée 2022,"chroniques de mertvecgorod, tome 2 : feminicid",1.0,,,,,,,,,,,,,,,,Christophe Siébert
205,Mars 2023,château de cartes,1.0,,,,,,,,,,,,,,,,Miguel Szymanski
208,Février 2023,chère petite,1.0,,,,,,,,,,,,,,,,Romy Hausmann
209,Octobre 2022,cinq doigts sous la neige,1.0,,,,,,,,,,,,,,,,Jacques Saussey
210,Février 2022,cinq mains coupées,1.0,,,,,,,,,,,,,,,,Sophie Divry
212,Rentrée 2022,clara lit proust,1.0,,,,,,,,,,,,,,,,Stéphane Carlier
213,Découverte Rentrée 2022,climax,1.0,,,,,,,,,,,,,,,,Thomas B. Reverdy
214,Septembre 2021,clockers,1.0,,,,,,,,,,,,,,,,Richard Price
215,Octobre 2022,code 612 : qui a tué le petit prince ?,1.0,,,,,,,,,,,,,,,,Michel Bussi
217,Octobre 2023,collapsus,1.0,,,,,,,,,,,,,,,,Thomas Bronnec
218,Août-Octobre 2023,combien de lunes,1.0,,,,,,,,,,,,,,,,Laura El Makki
219,Octobre 2022,comme un ciel en nous,1.0,0.0,0.0,0.0,,,0.0,2021.0,Prix Médicis essai,1.0,,,,0.0,0.0,0.0,Jakuta Alikavazovic
220,Août 2021,comme un empire dans un empire,1.0,,,,,,,,,,,,,,,,Alice Zeniter
221,Mars 2023,comme une éclipse,1.0,,,,,,,,,,,,,,,,Sophie Rouvier
222,Septembre 2021,comment cela finit,1.0,,,,,,,,,,,,,,,,Saskia Sarginson
223,Rentrée 2022,comment font les gens ?,1.0,,,,,,,,,,,,,,,,Olivia de Lamberterie
224,Novembre 2023,comment pensent les forêts,1.0,,,,,,,,,,,,,,,,Eduardo Kohn
227,Mai 2023,connemara,1.0,,,,,,,,,,,,,,,,Nicolas Mathieu
228,Février 2022,consolation,1.0,,,,,,,,,,,,,,,,Anne-Dauphine Julliand
229,Rentrée 2022,consolée,1.0,,,,,,,,,,,,,,,,Beata Umubyeyi Mairesse
230,Février 2023,consumée,1.0,,,,,,,,,,,,,,,,Antonia Crane
232,Janvier 2023,"cormoran strike, tome 5 : sang trouble",1.0,,,,,,,,,,,,,,,,Robert Galbraith
233,Rentrée 2022,corps flottants,1.0,,,,,,,,,,,,,,,,Jane Sautière
236,Février 2023,couleurs de l'adieu,1.0,,,,,,,,,,,,,,,,Bernhard Schlink
237,Août 2021,coup de grâce,1.0,,,,,,,,,,,,,,,,Danielle Steel
239,Mars 2022,crazy brave,1.0,,,,,,,,,,,,,,,,Joy Harjo
243,Octobre 2023,cupidité,1.0,,,,,,,,,,,,,,,,Deon Meyer
244,Mai 2022,célestine du bac,1.0,,,,,,,,,,,,,,,,Tatiana de Rosnay
245,Mai 2023,célestopol 1922,1.0,,,,,,,,,,,,,,,,Emmanuel Chastellière
246,Mai 2022,d'amour et de guerre,1.0,,,,,,,,,,,,,,,,Akli Tadjer
247,Mai 2023,d'audace et de liberté,1.0,,,,,,,,,,,,,,,,Akli Tadjer
248,Rentrée 2021,d'oncle,1.0,,,,,,,,,,,,,,,,Rebecca Gisler
249,Rentrée 2022,d'où vient l'amour,1.0,,,,,,,,,,,,,,,,Yann Queffélec
250,Septembre 2022,daddy,1.0,,,,,,,,,,,,,,,,Emma Cline
251,Janvier 2023,"daevabad, tome 2 : le royaume de cuivre",1.0,,,,,,,,,,,,,,,,S.A. Chakraborty
252,Septembre 2023,"daevabad, tome 3 : l'empire d'or",1.0,,,,,,,,,,,,,,,,S.A. Chakraborty
253,Novembre 2023,"dangereuses demoiselles, tome 2 : la ligue des sorcières distinguées",1.0,,,,,,,,,,,,,,,,India Holton
254,Mars 2023,dans l'etat sauvage,1.0,,,,,,,,,,,,,,,,Diane Cook
255,Février 2022,dans l'ombre du loup,1.0,,,,,,,,,,,,,,,,Olivier Merle
256,Janvier 2023,dans la baie fauve,1.0,,,,,,,,,,,,,,,,Sara Baume
258,Octobre 2021,dans la gueule de l'ours,1.0,,,,,,,,,,,,,,,,James A. McLaughlin
259,Découverte Rentrée 2022,dans la maison rêvée,1.0,,,,,,,,,,,,,,,,Carmen Maria Machado
260,Février 2022,dans la mer il y a des crocodiles,1.0,,,,,,,,,,,,,,,,Fabio Geda
261,Mars 2023,dans la neige ardente,1.0,,,,,,,,,,,,,,,,Olivier Gallien
262,Janvier 2023,dans la nuit blanche,1.0,,,,,,,,,,,,,,,,Olivier Adam
263,Septembre 2021,dans la rue de l'école,1.0,,,,,,,,,,,,,,,,Anouk F.
266,Avril 2021,dans les geôles de sibérie,1.0,,,,,,,,,,,,,,,,Yoann Barbereau
267,Avril 2023,dans les profondeurs du temps,1.0,,,,,,,,,,,,,,,,Adrian Tchaikovsky
268,Septembre 2023,dans mon coeur à jamais,1.0,,,,,,,,,,,,,,,,Narinai Abgaryan
270,Rentrée 2022,de femmes et de sel,1.0,,,,,,,,,,,,,,,,Gabriela Garcia
272,Mars 2023,de notre monde emporté,1.0,,,,,,,,,,,,,,,,Christian Astolfi
273,Mai 2023,de nouveaux endroits,1.0,,,,,,,,,,,,,,,,Lucile Génin
276,Avril 2022,de sel et de fumée,1.0,,,,,,,,,,,,,,,,Agathe Saint-Maur
277,Février 2023,de silence et de loup,1.0,,,,,,,,,,,,,,,,Patrice Gain
278,Septembre 2021,de soleil et de sang,1.0,,,,,,,,,,,,,,,,Jérôme Loubry
279,Octobre 2022,deacon king kong,1.0,,,,,,,,,,,,,,,,James McBride
280,Août-Octobre 2023,"demain, et demain, et demain",1.0,,,,,,,,,,,,,,,,Gabrielle Zevin
282,Février 2021,denali,1.0,,,,,,,,,,,,,,,,Patrice Gain
283,Octobre 2023,dernier train pour londres,1.0,,,,,,,,,,,,,,,,Meg Waite Clayton
284,Rentrée 2022,dernier travail,1.0,0.0,0.0,0.0,,,0.0,2022.0,Feuille d'or de la ville de Nancy,1.0,,,,0.0,0.0,0.0,Thierry Beinstingel
285,Avril 2021,derniers jours dun monde oublié,1.0,,,,,,,,,,,,,,,,Chris Vuklisevic
286,Octobre 2023,dernière oasis,1.0,,,,,,,,,,,,,,,,Charif Majdalani
288,Septembre 2021,des baisers parfum tabac,1.0,,,,,,,,,,,,,,,,Tayari Jones
291,Janvier 2021,des hommes justes : du patriarcat aux nouvelles masculinités,1.0,,,,,,,,,,,,,,,,Ivan Jablonka
292,Septembre 2023,des hommes sans nom,1.0,,,,,,,,,,,,,,,,Marc Victor
293,Mars 2023,des matins heureux,1.0,,,,,,,,,,,,,,,,Sophie Tal Men
294,Octobre 2023,des milliers de lunes,1.0,,,,,,,,,,,,,,,,Sebastian Barry
296,Février 2023,des âmes consolées,1.0,,,,,,,,,,,,,,,,Mary Lawson
297,Rentrée 2022,dessous les roses,1.0,,,,,,,,,,,,,,,,Olivier Adam
298,Avril 2023,deux cigarettes dans le noir,1.0,,,,,,,,,,,,,,,,Julien Dufresne-Lamy
299,Avril 2023,deux femmes et un jardin,1.0,,,,,,,,,,,,,,,,Anne Guglielmetti
300,Rentrée 2022,deux secondes d'air qui brûle,1.0,,,,,,,,,,,,,,,,Diaty Diallo
301,Avril 2021,devant la beauté de la nature,1.0,,,,,,,,,,,,,,,,Alexandre Lacroix
302,Avril 2022,devolution,1.0,,,,,,,,,,,,,,,,Max Brooks
303,Avril 2021,dieu et l'etat,1.0,,,,,,,,,,,,,,,,Mikhaïl Bakounine
304,Septembre 2021,"dieu pardonne, moi pas...",1.0,,,,,,,,,,,,,,,,Claude-Michel Rome
305,Janvier 2021,divergente racontée par quatre,1.0,,,,,,,,,,,,,,,,Veronica Roth
306,Février 2023,"dix âmes, pas plus",1.0,,,,,,,,,,,,,,,,Ragnar Jónasson
307,Septembre 2023,docile,1.0,,,,,,,,,,,,,,,,Aro Sáinz de la Maza
308,Rentrée 2021,double nelson,1.0,,,,,,,,,,,,,,,,Philippe Djian
309,Mars 2022,douve,1.0,,,,,,,,,,,,,,,,Victor Guilbert
310,Octobre 2023,douze chiens pour noël,1.0,,,,,,,,,,,,,,,,Lizzie Shane
311,Avril 2022,du bruit dans la nuit,1.0,,,,,,,,,,,,,,,,Linwood Barclay
312,Mars 2022,du miel sous les galettes,1.0,,,,,,,,,,,,,,,,Roukiata Ouedraogo
313,Octobre 2022,du plomb dans la tête,1.0,,,,,,,,,,,,,,,,Olivier Bocquet
314,Septembre 2022,du roi je serai l'assassin,1.0,,,,,,,,,,,,,,,,Jean-Laurent Del Socorro
316,Mai 2023,duchess,1.0,,,,,,,,,,,,,,,,Chris Whitaker
317,Août-Octobre 2023,dès que sa bouche fut pleine,1.0,,,,,,,,,,,,,,,,Juliette Oury
318,Septembre 2023,débarquer,1.0,,,,,,,,,,,,,,,,Hugo Boris
319,Août-Octobre 2023,déchirer le grand manteau noir,1.0,,,,,,,,,,,,,,,,Aline Caudet
322,Mars 2023,désenchantées,1.0,,,,,,,,,,,,,,,,Marie Vareille
323,Octobre 2021,désert noir,1.0,,,,,,,,,,,,,,,,Adrien Pauchet
324,Août-Octobre 2023,déserter,1.0,,,,,,,,,,,,,,,,Mathias Enard
325,Février 2023,eau douce,1.0,,,,,,,,,,,,,,,,Akwaeke Emezi
326,Octobre 2021,edmonde,1.0,,,,,,,,,,,,,,,,Dominique de Saint Pern
329,Avril 2021,elmet,1.0,,,,,,,,,,,,,,,,Fiona Mozley
330,Octobre 2023,embarquements immédiats pour noël,1.0,,,,,,,,,,,,,,,,Carène Ponte
331,Mai 2022,embrassons-nous sous les étoiles,1.0,,,,,,,,,,,,,,,,Sarah Morgan
332,Avril 2023,en attendant dogo,1.0,,,,,,,,,,,,,,,,Jean-Bernard Pouy
333,Novembre 2022,en attendant eden,1.0,,,,,,,,,,,,,,,,Elliot Ackerman
335,Découverte Rentrée 2022,encore une journée divine,1.0,,,,,,,,,,,,,,,,Denis Michelis
336,Septembre 2021,encre sympathique,1.0,,,,,,,,,,,,,,,,Patrick Modiano
337,Août 2021,enfances perdues,1.0,,,,,,,,,,,,,,,,Mechtild Borrmann
338,Janvier 2023,enfant de salaud,1.0,,,,,,,,,,,,,,,,Sorj Chalandon
340,Mars 2022,enrage contre la mort de la lumière,1.0,,,,,,,,,,,,,,,,Futhi Ntshingila
341,Septembre 2021,"ensemble, on aboie en silence",1.0,,,,,,,,,,,,,,,,Gringe
342,Janvier 2022,entre fauves,1.0,,,,,,,,,,,,,,,,Colin Niel
343,Novembre 2022,entre le paradis et l'enfer : la catabase,1.0,,,,,,,,,,,,,,,,Jack Jakoli
344,Mars 2022,entre toutes les mères,1.0,,,,,,,,,,,,,,,,Ashley Audrain
345,Mars 2021,envole-moi,1.0,,,,,,,,,,,,,,,,Annelise Heurtier
346,Avril 2023,envoyé un peu spécial,1.0,,,,,,,,,,,,,,,,Julien Blanc-Gras
347,Novembre 2023,"erectus, tome 3 : le dernier hiver",1.0,,,,,,,,,,,,,,,,Xavier Müller
348,Avril 2023,ernetti et le voyage interdit,1.0,,,,,,,,,,,,,,,,Roland Portiche
349,Novembre 2023,espionne,1.0,,,,,,,,,,,,,,,,Danielle Steel
350,Mai 2023,et ces êtres sans pénis !,1.0,,,,,,,,,,,,,,,,Chahdortt Djavann
351,Découverte Rentrée 2022,"et d'un seul bras, la soeur balaie sa maison",1.0,,,,,,,,,,,,,,,,Cherie Jones
352,Rentrée 2023,"et je danse, aussi - intégrale",1.0,,,,,,,,,,,,,,,,Anne-Laure Bondoux
353,Octobre 2021,et je veux le monde,1.0,,,,,,,,,,,,,,,,Marc Cheb Sun
354,Février 2023,et l'amour continue...,1.0,,,,,,,,,,,,,,,,Joffrey Gabriel
355,Rentrée 2022,et la forêt brûlera sous nos pas,1.0,,,,,,,,,,,,,,,,Jens Liljestrand
